Entity,Code,Year,Living Planet Index
Africa,,1970,100
Africa,,1971,94.004613
Africa,,1972,89.996994
Africa,,1973,89.674807
Africa,,1974,85.61314
Africa,,1975,79.87522
Africa,,1976,73.681283
Africa,,1977,68.55669599999999
Africa,,1978,63.46199
Africa,,1979,61.046195000000004
Africa,,1980,61.535764
Africa,,1981,64.33878
Africa,,1982,62.54752
Africa,,1983,60.948840000000004
Africa,,1984,57.786286
Africa,,1985,54.21002
Africa,,1986,50.9055
Africa,,1987,48.512694
Africa,,1988,46.974334
Africa,,1989,45.379722
Africa,,1990,43.616715
Africa,,1991,42.95254
Africa,,1992,43.475807
Africa,,1993,43.948746
Africa,,1994,44.49087
Africa,,1995,44.059843
Africa,,1996,43.973678
Africa,,1997,43.074483
Africa,,1998,42.116538
Africa,,1999,41.479552
Africa,,2000,40.746465
Africa,,2001,39.108196
Africa,,2002,37.214458
Africa,,2003,35.666745999999996
Africa,,2004,34.566407999999996
Africa,,2005,33.269107
Africa,,2006,32.03177
Africa,,2007,32.009085999999996
Africa,,2008,32.298052
Africa,,2009,32.467926000000006
Africa,,2010,31.544983
Africa,,2011,30.375797
Africa,,2012,29.082092999999997
Africa,,2013,28.170413
Africa,,2014,26.960372999999997
Africa,,2015,26.047169999999998
Africa,,2016,25.596067
Africa,,2017,25.551108
Africa,,2018,25.256573999999997
Africa,,2019,24.632017
Africa,,2020,23.96703
Asia and Pacific,,1970,100
Asia and Pacific,,1971,103.67014
Asia and Pacific,,1972,105.45609
Asia and Pacific,,1973,106.37546
Asia and Pacific,,1974,107.30608
Asia and Pacific,,1975,108.42007
Asia and Pacific,,1976,107.95983
Asia and Pacific,,1977,106.00847
Asia and Pacific,,1978,103.8813
Asia and Pacific,,1979,102.26315
Asia and Pacific,,1980,101.17103999999999
Asia and Pacific,,1981,99.90027500000001
Asia and Pacific,,1982,98.06892
Asia and Pacific,,1983,95.40395000000001
Asia and Pacific,,1984,93.619156
Asia and Pacific,,1985,93.40339
Asia and Pacific,,1986,94.81911
Asia and Pacific,,1987,95.18263
Asia and Pacific,,1988,94.774324
Asia and Pacific,,1989,93.57719399999999
Asia and Pacific,,1990,90.70645
Asia and Pacific,,1991,87.318444
Asia and Pacific,,1992,83.626175
Asia and Pacific,,1993,79.48206
Asia and Pacific,,1994,76.156116
Asia and Pacific,,1995,72.777075
Asia and Pacific,,1996,71.23953
Asia and Pacific,,1997,68.88039
Asia and Pacific,,1998,66.21564
Asia and Pacific,,1999,63.25674
Asia and Pacific,,2000,60.836875
Asia and Pacific,,2001,59.460074
Asia and Pacific,,2002,59.40582
Asia and Pacific,,2003,59.789216999999994
Asia and Pacific,,2004,59.64404
Asia and Pacific,,2005,57.462436
Asia and Pacific,,2006,54.030376999999994
Asia and Pacific,,2007,49.774006
Asia and Pacific,,2008,46.577754999999996
Asia and Pacific,,2009,43.547058
Asia and Pacific,,2010,42.038888
Asia and Pacific,,2011,40.70394
Asia and Pacific,,2012,40.625206000000006
Asia and Pacific,,2013,42.730197
Asia and Pacific,,2014,45.025682
Asia and Pacific,,2015,47.193745
Asia and Pacific,,2016,45.737422
Asia and Pacific,,2017,45.325962
Asia and Pacific,,2018,43.19193
Asia and Pacific,,2019,41.926342
Asia and Pacific,,2020,39.603937
Europe and Central Asia,,1970,100
Europe and Central Asia,,1971,101.56175999999999
Europe and Central Asia,,1972,103.28828000000001
Europe and Central Asia,,1973,105.34041
Europe and Central Asia,,1974,107.97343
Europe and Central Asia,,1975,110.22451
Europe and Central Asia,,1976,111.41124
Europe and Central Asia,,1977,111.57060999999999
Europe and Central Asia,,1978,111.54101999999999
Europe and Central Asia,,1979,111.60547999999999
Europe and Central Asia,,1980,111.79069
Europe and Central Asia,,1981,112.12618
Europe and Central Asia,,1982,113.51088
Europe and Central Asia,,1983,113.3673
Europe and Central Asia,,1984,114.12020000000001
Europe and Central Asia,,1985,113.89959
Europe and Central Asia,,1986,115.30493
Europe and Central Asia,,1987,117.54643
Europe and Central Asia,,1988,121.60263
Europe and Central Asia,,1989,125.94024999999999
Europe and Central Asia,,1990,128.22378
Europe and Central Asia,,1991,127.48061
Europe and Central Asia,,1992,124.86655
Europe and Central Asia,,1993,120.48862
Europe and Central Asia,,1994,115.75325000000001
Europe and Central Asia,,1995,111.52333000000002
Europe and Central Asia,,1996,107.80377000000001
Europe and Central Asia,,1997,105.13825000000001
Europe and Central Asia,,1998,102.20506
Europe and Central Asia,,1999,99.69385
Europe and Central Asia,,2000,97.26542
Europe and Central Asia,,2001,94.505
Europe and Central Asia,,2002,92.2821
Europe and Central Asia,,2003,90.27463999999999
Europe and Central Asia,,2004,89.25807999999999
Europe and Central Asia,,2005,88.5537
Europe and Central Asia,,2006,87.97756
Europe and Central Asia,,2007,87.366354
Europe and Central Asia,,2008,86.272573
Europe and Central Asia,,2009,85.77246699999999
Europe and Central Asia,,2010,85.353625
Europe and Central Asia,,2011,81.81786
Europe and Central Asia,,2012,76.98188
Europe and Central Asia,,2013,71.37844
Europe and Central Asia,,2014,70.045346
Europe and Central Asia,,2015,68.17219
Europe and Central Asia,,2016,66.20193
Europe and Central Asia,,2017,63.67363
Europe and Central Asia,,2018,62.69671
Europe and Central Asia,,2019,63.467929999999996
Europe and Central Asia,,2020,64.715004
Freshwater,,1970,100
Freshwater,,1971,99.46605600000001
Freshwater,,1972,98.52717
Freshwater,,1973,97.939116
Freshwater,,1974,94.87048999999999
Freshwater,,1975,90.88777300000001
Freshwater,,1976,86.56383
Freshwater,,1977,82.577896
Freshwater,,1978,78.73241300000001
Freshwater,,1979,75.95674
Freshwater,,1980,74.02299
Freshwater,,1981,72.97171
Freshwater,,1982,70.101494
Freshwater,,1983,66.945815
Freshwater,,1984,63.837219999999995
Freshwater,,1985,61.14769
Freshwater,,1986,59.06305
Freshwater,,1987,56.518734
Freshwater,,1988,53.848714
Freshwater,,1989,51.729435
Freshwater,,1990,49.232572000000005
Freshwater,,1991,47.23513
Freshwater,,1992,45.171323
Freshwater,,1993,43.15753
Freshwater,,1994,40.998059999999995
Freshwater,,1995,38.219362000000004
Freshwater,,1996,36.620688
Freshwater,,1997,34.177765
Freshwater,,1998,31.9803
Freshwater,,1999,29.701427000000002
Freshwater,,2000,28.348046999999998
Freshwater,,2001,27.037767000000002
Freshwater,,2002,25.74576
Freshwater,,2003,24.708813
Freshwater,,2004,23.750272
Freshwater,,2005,22.809732
Freshwater,,2006,21.496353000000003
Freshwater,,2007,20.477218999999998
Freshwater,,2008,19.42143
Freshwater,,2009,18.544841
Freshwater,,2010,17.565557000000002
Freshwater,,2011,16.353666999999998
Freshwater,,2012,15.41621
Freshwater,,2013,15.310742
Freshwater,,2014,15.783352
Freshwater,,2015,16.220301
Freshwater,,2016,16.004752
Freshwater,,2017,15.89659
Freshwater,,2018,15.773053
Freshwater,,2019,15.531171999999998
Freshwater,,2020,14.783052
Latin America and the Caribbean,,1970,100
Latin America and the Caribbean,,1971,101.00716000000001
Latin America and the Caribbean,,1972,99.45676
Latin America and the Caribbean,,1973,95.00664
Latin America and the Caribbean,,1974,89.129627
Latin America and the Caribbean,,1975,82.74603499999999
Latin America and the Caribbean,,1976,77.16729
Latin America and the Caribbean,,1977,71.91493
Latin America and the Caribbean,,1978,68.224823
Latin America and the Caribbean,,1979,65.98164
Latin America and the Caribbean,,1980,63.43763
Latin America and the Caribbean,,1981,60.964894
Latin America and the Caribbean,,1982,56.798995
Latin America and the Caribbean,,1983,52.26195500000001
Latin America and the Caribbean,,1984,48.506236
Latin America and the Caribbean,,1985,46.00974
Latin America and the Caribbean,,1986,43.925965
Latin America and the Caribbean,,1987,41.303524
Latin America and the Caribbean,,1988,38.98485
